STATENAME,Average_Income_Veterans,Average_Income_NonVeterans,Veterans_Higher
alabama,94945.13555555553,92285.411905279,TRUE
alaska,120325.37588652485,117024.83794295586,TRUE
arizona,102765.41868512113,111795.85105813005,FALSE
arkansas,78294.03389830505,92650.1518557238,FALSE
california,121206.62215320893,125934.8434684232,FALSE
colorado,114865.91596638659,134676.51274312573,FALSE
connecticut,136102.90990990988,135533.06303854886,TRUE
delaware,113831.92340425527,109754.17693522884,TRUE
district of columbia,148612.06896551725,166729.0970654624,FALSE
florida,94399.49754901961,94827.28066660579,FALSE
georgia,93940.7008797654,101482.27218817965,FALSE
hawaii,129157.09770114934,125390.38368101382,TRUE
idaho,97413.2551724138,103486.42332725858,FALSE
illinois,103889.68656716419,129125.82186299624,FALSE
indiana,85338.50409836066,110228.65283130758,FALSE
iowa,118063.01554404142,112919.00757575738,TRUE
kansas,99166.28342245989,113602.12847884085,FALSE
kentucky,76723.09844559588,92517.66627497082,FALSE
louisiana,88259.90476190478,90893.69329501942,FALSE
maine,90098.59259259261,104827.6065904505,FALSE
maryland,161694.4530612245,150893.28110433836,TRUE
massachusetts,121660.33476394849,154919.8428541538,FALSE
michigan,101733.08510638299,121997.04001625029,FALSE
minnesota,114042.68656716419,137048.99338900475,FALSE
mississippi,81999.4597315436,75757.04344587853,TRUE
missouri,88272.34552845528,106810.6795891319,FALSE
montana,93724.97193877556,105145.36563346385,FALSE
nebraska,116915.47317073173,115998.89764973424,TRUE
nevada,105813.12587412588,103851.85499058387,TRUE
new hampshire,107404.98780487807,138593.9526558892,FALSE
new jersey,118883.84023668637,146912.74294886482,FALSE
new mexico,88080.52519893897,82950.95608685062,TRUE
new york,102886.06489675517,124423.8628007273,FALSE
north carolina,97487.6805555556,103758.72727272789,FALSE
north dakota,83050.98617511519,109667.85840707956,FALSE
ohio,92699.81542056073,102708.34618523071,FALSE
oklahoma,95793.77187499995,91417.63588235281,TRUE
oregon,104032.08450704224,126827.86210670308,FALSE
pennsylvania,103870.24054054053,122381.11633663368,FALSE
rhode island,113235.37209302325,130324.9071125266,FALSE
south carolina,90866.88705234161,95650.7874080132,FALSE
south dakota,92526.312849162,105774.68471615716,FALSE
tennessee,100863.86562499996,97194.44177310285,TRUE
texas,115410.34787350055,107547.53539206335,TRUE
utah,126140.13333333336,130591.96327833961,FALSE
vermont,99451.20540540542,121028.3141542002,FALSE
virginia,137865.93796526053,133627.92174531703,TRUE
washington,108895.10509554141,133512.67601027797,FALSE
west virginia,75045.11825192803,90645.25106496255,FALSE
wisconsin,90746.2474226804,114079.25215591645,FALSE
wyoming,95317.9419354839,98867.41104078753,FALSE
